Contemporary Art | Hong Kong,8–15 SEPTEMBER 2020 | 11:00 AM HKT | HONG KONG,https://www.sothebys.com/en/buy/auction/2020/contemporary-art-hong-kong
Contemporary Art | London,13–20 AUGUST 2020 | 2:00 PM BST | LONDON,https://www.sothebys.com/en/buy/auction/2020/contemporary-art-london-2
Contemporary Art Day Sale,20–30 JULY 2020 | 2:00 PM BST | LONDON,https://www.sothebys.com/en/buy/auction/2020/contemporary-art-london
Modern & Post-War British Art Day Sale,20–30 JULY 2020 | 1:00 PM BST | LONDON,https://www.sothebys.com/en/buy/auction/2020/modern-post-war-british-art-london
Impressionist & Modern Art Day Sale,20–29 JULY 2020 | 2:00 PM BST | LONDON,https://www.sothebys.com/en/buy/auction/2020/impressionist-modern-art-london
Rembrandt to Richter,28 JULY 2020 | 5:00 PM BST | LONDON,https://www.sothebys.com/en/buy/auction/2020/evening-sale-london
Picasso Prints & Ceramics,13–24 JULY 2020 | 2:00 PM EDT | NEW YORK,https://www.sothebys.com/en/buy/auction/2020/picasso-prints-ceramics-online
From Coast to Coast: Property from a Private Florida Collection,15–24 JULY 2020 | 12:00 PM EDT | NEW YORK,https://www.sothebys.com/en/buy/auction/2020/from-coast-to-coast-property-from-a-private-florida-collection
Contemporary Art | New York,10–17 JULY 2020 | 12:00 PM EDT | NEW YORK,https://www.sothebys.com/en/buy/auction/2020/contemporary-art-online-new-york-2
The Ginny Williams Collection: Part II,9–16 JULY 2020 | 12:00 PM EDT | NEW YORK,https://www.sothebys.com/en/buy/auction/2020/the-ginny-williams-collection-part-ii
Contemporary Art Day Sale,10 JULY 2020 | 10:30 AM HKT | HONG KONG,https://www.sothebys.com/en/buy/auction/2020/contemporary-art-day-sale
Contemporary Art Evening Sale,9 JULY 2020 | 7:00 PM HKT | HONG KONG,https://www.sothebys.com/en/auctions/2020/contemporary-art-evening-sale-hk0927.html
Modern Art Day Sale,9 JULY 2020 | 2:30 PM HKT | HONG KONG,https://www.sothebys.com/en/auctions/2020/modern-art-day-sale-hk0931.html
Modern Art Evening Sale,8 JULY 2020 | 7:00 PM HKT | HONG KONG,https://www.sothebys.com/en/auctions/2020/modern-art-evening-sale-hk0928.html
Food For Thought,25 JUNE–2 JULY 2020 | 12:00 PM EDT | NEW YORK,https://www.sothebys.com/en/buy/auction/2020/food-for-thought
Contemporary Art Day Auction,30 JUNE 2020 | 12:00 PM EDT | NEW YORK,https://www.sothebys.com/en/buy/auction/2020/contemporary-art-day-auction
Swiss Made UNLOCKED,23–30 JUNE 2020 | 3:00 PM CEST | ZURICH,https://www.sothebys.com/en/buy/auction/2020/swiss-made-unlocked
Impressionist & Modern Art Evening Sale,29 JUNE 2020 | 7:30 PM EDT | NEW YORK,https://www.sothebys.com/en/buy/auction/2020/impressionist-modern-art-evening-sale
Contemporary Art Evening Auction,29 JUNE 2020 | 7:00 PM EDT | NEW YORK,https://www.sothebys.com/en/buy/auction/2020/contemporary-art-evening-auction
The Ginny Williams Collection Evening Sale,29 JUNE 2020 | 6:30 PM EDT | NEW YORK,https://www.sothebys.com/en/buy/auction/2020/the-ginny-williams-collection-evening-sale
Impressionist & Modern Art Day Sale,29 JUNE 2020 | 10:00 AM EDT | NEW YORK,https://www.sothebys.com/en/buy/auction/2020/impressionist-modern-art-day-sale
American Art,26 JUNE 2020 | 10:00 AM EDT | NEW YORK,https://www.sothebys.com/en/buy/auction/2020/american-art
This Too Shall Pass,18–25 JUNE 2020 | 4:00 PM GST | DUBAI,https://www.sothebys.com/en/buy/auction/2020/this-too-shall-pass
Art Contemporain Evening Sale,24 JUNE 2020 | 7:00 PM CEST | PARIS,https://www.sothebys.com/en/buy/auction/2020/art-contemporain-evening-sale
Art Contemporain Day Sale,24 JUNE 2020 | 2:30 PM CEST | PARIS,https://www.sothebys.com/en/buy/auction/2020/art-contemporain-day-sale
Cubism and Beyond,16–23 JUNE 2020 | 12:00 PM EDT | NEW YORK,https://www.sothebys.com/en/buy/auction/2020/cubism-and-beyond
Oeuvres sur Papier,19 JUNE 2020 | 2:30 PM CEST | PARIS,https://www.sothebys.com/en/buy/auction/2020/oeuvres-sur-papier-2
Art Impressionniste et Moderne,18 JUNE 2020 | 6:00 PM CEST | PARIS,https://www.sothebys.com/en/buy/auction/2020/art-impressionniste-et-moderne
The World of Picasso: Including Works from the Collection of Marina Picasso,8–18 JUNE 2020 | 2:00 PM BST | LONDON,https://www.sothebys.com/en/buy/auction/2020/the-world-of-picasso
European Art: Paintings & Sculpture,12–18 JUNE 2020 | 2:00 PM BST | LONDON,https://www.sothebys.com/en/buy/auction/2020/european-art-paintings-sculpture
Contemporary Art | Milan,4–16 JUNE 2020 | 4:00 PM CEST | MILAN,https://www.sothebys.com/en/buy/auction/2020/contemporary-art-milan
Contemporary Showcase: MEET AllRightsReserved,9–16 JUNE 2020 | 11:00 AM HKT | HONG KONG,https://www.sothebys.com/en/buy/auction/2020/contemporary-showcase-meet-allrightsreserved
Contemporary Showcase: Time Goes On,2–9 JUNE 2020 | 11:00 AM HKT | HONG KONG,https://www.sothebys.com/en/buy/auction/2020/contemporary-showcase-time-goes-on
The Artist’s Sketchbook: Where Inspiration Finds Form,22 MAY–4 JUNE 2020 | 2:00 PM BST | LONDON,https://www.sothebys.com/en/buy/auction/2020/the-artists-sketchbook-where-inspiration-finds-form
Contemporary Art Online | Paris,25 MAY–3 JUNE 2020 | 3:00 PM CEST | PARIS,https://www.sothebys.com/en/buy/auction/2020/contemporary-art-online-paris
